carat,cut,color,clarity,depth,table,price,x,y,z
1.01,Premium,F,VS2,61.6,59.0,6707,6.43,6.39,3.95
1.01,Good,G,VVS2,63.2,59.0,7528,6.34,6.38,4.02
0.3,Premium,D,SI1,62.3,58.0,552,4.28,4.32,2.68
0.5,Good,G,VVS2,63.9,58.0,1806,5.05,5.0,3.21
1.06,Premium,H,SI1,61.0,60.0,5461,6.59,6.56,4.01
1.07,Ideal,F,SI2,61.5,57.0,4678,6.57,6.6,4.05
0.41,Good,E,VVS1,63.5,57.0,1002,4.73,4.75,3.01
0.31,Premium,E,VVS1,61.5,58.0,988,4.37,4.35,2.68
0.29,Ideal,H,IF,62.1,55.0,607,4.26,4.29,2.65
0.9,Premium,I,VS2,60.1,59.0,3663,6.37,6.25,3.79
0.31,Ideal,D,VS2,59.4,56.0,879,4.45,4.4,2.63
0.28,Very Good,E,VVS1,61.9,59.0,642,4.16,4.21,2.59
1.03,Premium,D,VS1,59.6,61.0,6974,6.62,6.57,3.93
0.32,Premium,H,VS2,62.5,59.0,505,4.33,4.38,2.72
0.3,Premium,D,VS2,60.6,59.0,710,4.28,4.36,2.62
0.6,Ideal,E,VS1,59.6,59.0,2339,5.52,5.45,3.27
0.91,Ideal,G,SI1,61.9,56.0,4731,6.22,6.18,3.84
0.54,Premium,D,VVS2,62.0,59.0,2505,5.17,5.22,3.22
2.16,Ideal,J,VS1,61.4,59.0,15714,8.27,8.33,5.1
0.31,Very Good,H,VS2,60.0,60.0,489,4.4,4.43,2.65
0.32,Ideal,G,VVS2,60.6,57.0,936,4.43,4.41,2.68
0.59,Ideal,G,VVS2,61.0,57.0,2024,5.41,5.44,3.31
0.51,Ideal,E,VVS2,62.5,57.0,2301,5.06,5.12,3.18
1.16,Very Good,H,SI2,61.8,58.0,4785,6.75,6.81,4.19
1.05,Very Good,H,SI1,63.5,57.0,4692,6.47,6.44,4.1
1.05,Premium,F,SI2,62.8,55.0,4363,6.55,6.48,4.09
0.66,Ideal,E,SI2,62.4,56.0,1584,5.61,5.55,3.48
1.62,Premium,F,VS1,61.3,57.0,16112,7.6,7.55,4.64
0.7,Very Good,F,VVS2,62.6,59.0,2940,5.6,5.64,3.52
0.72,Premium,H,SI1,61.5,56.0,2398,5.8,5.77,3.56
1.09,Premium,F,SI1,62.7,58.0,5287,6.51,6.56,4.1
0.32,Premium,G,VVS2,62.3,58.0,936,4.38,4.35,2.72
0.96,Premium,E,SI2,62.8,60.0,3016,6.3,6.24,3.94
2.28,Premium,H,SI2,62.1,59.0,17892,8.4,8.44,5.23
0.4,Ideal,E,VVS2,61.5,55.0,1056,4.79,4.77,2.94
0.9,Premium,G,SI2,61.3,55.0,3226,6.18,6.12,3.77
0.51,Premium,G,VS2,61.3,59.0,1443,5.17,5.11,3.15
0.35,Ideal,D,VS2,60.6,56.0,829,4.54,4.57,2.76
0.77,Fair,H,VS1,64.6,56.4,2594,5.78,5.84,3.75
1.78,Ideal,H,SI1,62.1,57.0,12843,7.77,7.73,4.81
0.7,Premium,F,SI1,60.8,56.0,2394,5.72,5.66,3.46
1.29,Ideal,G,VVS2,62.4,57.0,10614,6.94,6.97,4.34
0.57,Very Good,D,SI2,62.1,58.0,1387,5.26,5.31,3.28
1.05,Very Good,G,VS2,61.7,55.0,5917,6.5,6.56,4.03
0.77,Ideal,D,SI2,62.1,56.0,2896,5.83,5.89,3.64
0.43,Premium,H,VS2,61.9,55.0,1016,4.95,4.8,3.02
0.52,Ideal,E,SI1,61.1,57.0,1656,5.2,5.17,3.16
0.4,Ideal,G,IF,61.9,56.0,1570,4.7,4.76,2.93
0.52,Premium,F,VS2,60.2,59.0,1451,5.19,5.21,3.13
0.31,Ideal,E,VS2,62.4,53.0,642,4.33,4.36,2.71
0.69,Very Good,F,SI1,62.6,59.6,1951,5.59,5.66,3.52
0.8,Ideal,E,VVS2,61.4,57.0,4493,5.98,5.94,3.66
0.92,Very Good,G,SI1,61.8,54.0,4281,6.25,6.37,3.9
0.7,Good,F,SI1,58.7,60.0,2409,5.75,5.81,3.39
0.51,Very Good,E,VS2,60.0,57.0,1549,5.15,5.19,3.1
0.9,Good,D,SI1,63.8,58.0,4193,6.09,6.13,3.9
0.7,Very Good,G,VS1,63.1,57.0,2497,5.7,5.61,3.57
0.3,Ideal,H,SI1,60.7,56.0,465,4.35,4.37,2.65
0.26,Ideal,I,VS1,61.9,56.0,358,4.08,4.16,2.55
0.76,Good,E,SI2,58.8,59.0,2680,5.95,5.99,3.51
0.76,Very Good,F,VVS2,62.9,58.0,3640,5.76,5.85,3.65
0.3,Ideal,D,VS2,60.9,57.0,710,4.32,4.35,2.64
1.06,Ideal,D,IF,61.2,57.0,15813,6.57,6.61,4.03
0.54,Ideal,I,SI1,62.0,55.0,1057,5.21,5.25,3.24
0.42,Ideal,H,SI1,62.2,57.0,700,4.78,4.8,2.98
0.39,Very Good,G,VVS2,60.7,61.0,958,4.7,4.73,2.86
0.72,Premium,H,VS2,61.1,58.0,2318,5.78,5.74,3.52
1.02,Very Good,I,VS2,59.3,59.0,4762,6.57,6.62,3.91
1.7,Very Good,J,SI1,61.9,59.0,8870,7.59,7.64,4.71
0.31,Premium,G,VVS2,61.8,58.0,707,4.32,4.36,2.68
0.43,Very Good,G,VS2,61.0,56.0,844,4.87,4.89,2.98
2.01,Ideal,F,SI2,60.0,56.0,17220,8.17,8.22,4.92
0.7,Ideal,E,SI1,62.2,57.0,2542,5.72,5.67,3.54
1.01,Fair,G,VS2,59.1,56.0,6271,6.55,6.52,3.86
0.72,Fair,J,SI2,66.1,55.0,1762,5.51,5.56,3.66
0.39,Ideal,E,VVS2,61.6,56.0,1300,4.69,4.73,2.9
1.04,Premium,G,VS2,61.8,58.0,6709,6.51,6.46,4.01
0.83,Ideal,F,SI1,62.1,55.0,3254,6.0,6.05,3.74
0.33,Very Good,G,VS2,62.0,58.0,579,4.42,4.45,2.75
1.05,Ideal,G,VVS2,62.2,56.0,8645,6.49,6.53,4.05
0.5,Good,D,VS1,60.9,62.0,1657,5.05,5.06,3.08
0.38,Ideal,D,VS2,62.0,56.0,933,4.64,4.68,2.89
0.5,Good,E,VVS2,58.9,61.0,2183,5.18,5.2,3.06
1.0,Premium,D,SI2,60.3,58.0,4295,6.48,6.45,3.9
0.35,Ideal,E,SI1,60.9,55.0,614,4.53,4.57,2.77
1.0,Premium,F,SI1,61.9,60.0,5544,6.34,6.39,3.94
1.7,Very Good,F,I1,63.1,56.0,5998,7.62,7.51,4.78
0.23,Very Good,D,VVS2,61.3,59.0,530,3.91,3.99,2.42
1.72,Ideal,I,VS2,62.8,57.0,11226,7.69,7.63,4.81
0.79,Premium,F,SI1,62.8,55.0,2656,5.94,5.88,3.71
1.52,Premium,H,VS2,60.6,61.0,9704,7.46,7.42,4.51
0.25,Very Good,F,IF,61.5,56.0,560,4.04,4.06,2.48
1.22,Premium,G,VS2,61.1,56.0,8062,6.94,6.85,4.21
1.33,Good,I,VS1,63.7,56.0,6963,6.92,6.96,4.42
1.5,Premium,G,SI1,62.3,60.0,7535,7.27,7.17,4.5
1.51,Very Good,I,VVS2,61.9,56.0,9416,7.35,7.38,4.56
2.03,Very Good,E,SI2,63.1,56.0,14646,8.01,7.99,5.05
0.24,Ideal,G,VVS1,62.4,56.0,559,3.97,3.99,2.48
0.33,Ideal,E,IF,60.8,57.0,1079,4.44,4.47,2.71
0.54,Ideal,H,VVS2,61.1,56.0,1696,5.23,5.28,3.21
2.26,Ideal,J,VS2,61.1,57.0,17010,8.44,8.47,5.17
0.27,Very Good,E,VVS2,59.7,61.0,567,4.24,4.27,2.54
2.09,Premium,H,VS2,62.2,58.0,18443,8.17,8.12,5.06
0.37,Premium,G,VS2,61.2,60.0,649,4.58,4.63,2.82
0.61,Good,F,VS1,60.6,60.3,2120,5.46,5.51,3.32
0.45,Ideal,E,VVS2,61.6,56.0,1817,4.96,4.98,3.06
1.01,Very Good,H,SI1,62.5,58.0,4306,6.35,6.38,3.98
0.4,Ideal,E,VS1,62.1,55.0,960,4.79,4.75,2.96
1.01,Very Good,D,SI1,59.8,56.0,5394,6.57,6.6,3.94
1.0,Very Good,E,SI2,63.7,60.0,4181,6.24,6.32,4.0
0.51,Very Good,G,VVS2,62.9,57.0,1875,5.09,5.12,3.21
0.7,Very Good,G,SI1,64.3,56.0,2517,5.56,5.58,3.58
0.25,Very Good,I,VVS2,61.6,56.0,455,4.06,4.09,2.51
0.58,Very Good,F,SI1,62.6,57.0,1373,5.24,5.36,3.32
0.5,Very Good,I,SI1,63.2,57.0,1087,5.07,5.09,3.21
0.7,Ideal,E,SI1,61.7,55.0,2745,5.71,5.74,3.53
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58
0.71,Very Good,G,SI1,63.2,58.0,2137,5.58,5.68,3.56
0.5,Very Good,G,SI1,60.0,63.0,1197,5.06,5.1,3.05
0.28,Very Good,E,VVS2,60.0,56.0,642,4.26,4.28,2.56
0.52,Ideal,G,VVS2,59.8,57.0,2012,5.26,5.24,3.14
0.43,Ideal,G,VVS1,62.0,55.0,1207,4.82,4.85,3.0
0.3,Premium,G,VVS2,61.2,59.0,684,4.31,4.35,2.65
0.41,Premium,G,VS2,62.6,59.0,1061,4.76,4.73,2.97
1.29,Ideal,G,VS2,62.5,57.0,8582,6.89,6.92,4.35
0.33,Ideal,F,VVS1,61.8,57.0,955,4.43,4.47,2.75
0.3,Ideal,F,IF,61.4,56.0,886,4.32,4.34,2.66
1.21,Ideal,G,VS1,61.8,55.0,8864,6.81,6.87,4.23
0.72,Ideal,G,VS1,61.2,57.0,3478,5.76,5.79,3.53
0.23,Very Good,D,VVS2,59.6,61.0,499,3.99,4.03,2.39
0.4,Premium,G,VS2,61.9,58.0,753,4.74,4.76,2.94
1.5,Very Good,F,SI1,63.9,58.0,11004,7.12,7.16,4.56
0.5,Premium,H,SI1,60.2,61.0,1141,5.16,5.14,3.1
1.02,Premium,G,VS2,60.5,54.0,6169,6.57,6.48,3.95
1.24,Very Good,I,VS1,59.4,58.0,6754,7.04,7.09,4.2
0.51,Ideal,F,VS1,61.9,56.0,1836,5.17,5.11,3.18
0.41,Very Good,J,VS2,61.6,57.0,627,4.79,4.82,2.96
1.01,Ideal,G,VS2,61.9,56.0,6439,6.42,6.46,3.99
0.38,Ideal,E,VVS2,62.0,57.0,1030,4.64,4.69,2.89
0.72,Ideal,F,VVS2,60.9,56.0,3780,5.83,5.77,3.53
0.3,Ideal,F,VS1,62.0,55.0,844,4.34,4.3,2.68
1.21,Very Good,G,SI2,62.7,59.0,5308,6.66,6.74,4.2
0.31,Very Good,D,VVS1,61.1,56.0,826,4.35,4.42,2.68
0.76,Premium,E,VS2,60.3,60.0,3107,5.97,5.94,3.59
0.42,Very Good,F,VS2,61.7,59.0,884,4.75,4.82,2.95
0.42,Ideal,G,IF,62.6,53.0,1289,4.79,4.82,3.01
0.59,Ideal,E,SI1,62.4,55.0,1664,5.34,5.39,3.35
1.5,Very Good,G,SI1,62.1,58.0,10019,7.26,7.3,4.52
0.31,Ideal,I,SI1,62.5,56.0,537,4.35,4.29,2.7
2.13,Good,H,SI2,59.2,58.0,16062,8.35,8.41,4.96
1.01,Premium,H,SI2,60.8,59.0,3733,6.51,6.46,3.94
0.53,Ideal,I,SI1,61.5,54.0,1038,5.22,5.26,3.22
0.56,Ideal,I,VS2,62.1,54.0,1237,5.3,5.33,3.3
1.74,Ideal,I,SI2,61.6,57.0,8896,7.67,7.74,4.75
0.73,Very Good,J,VS2,60.6,61.0,1952,5.77,5.81,3.51
0.7,Very Good,F,SI1,59.8,59.0,2401,5.74,5.8,3.45
1.04,Premium,E,SI1,59.6,59.0,5766,6.59,6.56,3.92
0.34,Premium,G,IF,62.3,59.0,1084,4.49,4.46,2.79
0.7,Ideal,F,VS1,62.4,56.0,2874,5.69,5.65,3.54
0.38,Ideal,F,VS1,61.1,56.0,1004,4.7,4.65,2.86
0.38,Premium,F,VS2,60.9,56.0,1026,4.72,4.67,2.86
1.01,Very Good,G,VS2,59.9,60.0,5759,6.46,6.52,3.89
0.83,Very Good,J,VS2,60.5,55.0,2444,6.08,6.11,3.69
0.55,Premium,G,SI1,60.7,56.0,1226,5.38,5.32,3.25
0.41,Premium,F,SI2,59.0,58.0,604,4.87,4.89,2.88
1.53,Ideal,G,VS1,62.2,56.0,13994,7.36,7.31,4.56
1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93
0.4,Good,E,SI1,63.2,56.0,687,4.65,4.69,2.95
0.43,Premium,F,VVS2,61.6,60.0,1169,4.82,4.86,2.98
0.91,Good,G,VVS2,64.1,58.0,4464,6.1,6.06,3.9
0.32,Premium,J,IF,61.2,59.0,684,4.44,4.41,2.71
0.3,Premium,H,VVS1,61.3,61.0,878,4.29,4.26,2.62
1.06,Ideal,H,SI2,61.7,60.0,4547,6.53,6.51,4.02
0.9,Premium,F,SI1,62.6,60.0,3881,6.14,6.1,3.83
0.51,Ideal,G,VVS2,61.8,56.0,1974,5.16,5.1,3.17
0.79,Ideal,I,VS1,62.2,57.0,2958,5.89,5.94,3.68
0.71,Very Good,E,SI1,63.1,59.0,2441,5.75,5.62,3.59
0.91,Ideal,E,SI1,60.7,56.0,3665,6.26,6.22,3.79
0.4,Very Good,E,SI1,63.5,58.0,882,4.67,4.65,2.96
0.33,Ideal,G,VVS1,61.0,56.0,971,4.49,4.52,2.75
1.24,Premium,H,VS1,61.2,59.0,7358,6.91,6.94,4.24
1.14,Ideal,F,VVS2,61.9,57.0,10786,6.73,6.68,4.15
1.09,Ideal,G,VS2,62.3,57.0,6480,6.6,6.57,4.1
0.42,Ideal,E,VS2,61.6,57.0,908,4.79,4.82,2.96
0.34,Ideal,F,IF,61.4,57.0,1276,4.49,4.5,2.76
1.06,Very Good,F,SI1,61.2,57.0,5142,6.58,6.68,4.06
0.4,Good,G,SI2,60.6,55.8,672,4.76,4.82,2.91
0.31,Good,H,SI1,63.6,57.0,435,4.28,4.31,2.73
0.53,Ideal,D,VS2,61.7,55.0,1956,5.23,5.21,3.22
1.16,Premium,H,SI1,59.6,58.0,4814,6.86,6.83,4.08
0.75,Fair,F,VS1,55.8,70.0,2859,6.09,5.98,3.37
0.38,Very Good,H,VS2,63.0,56.0,700,4.57,4.61,2.89
0.34,Very Good,G,SI1,63.4,57.0,521,4.4,4.45,2.81
0.23,Very Good,F,VVS1,60.7,55.0,525,3.98,4.0,2.42
0.34,Very Good,H,SI2,58.6,62.0,417,4.6,4.62,2.7
1.51,Very Good,I,IF,62.1,59.0,12291,7.25,7.31,4.52
0.3,Ideal,G,IF,62.1,55.0,895,4.31,4.35,2.69
0.73,Ideal,D,VS2,61.6,56.0,4134,5.76,5.8,3.56
0.28,Very Good,H,VS1,63.1,55.0,429,4.17,4.2,2.64
0.71,Ideal,F,SI2,61.4,55.0,2525,5.76,5.78,3.54
1.24,Ideal,J,VS2,62.3,56.0,5443,6.84,6.91,4.28
1.3,Premium,G,VVS1,60.5,60.0,11061,7.01,7.05,4.25
0.35,Premium,E,IF,59.0,61.0,1148,4.64,4.62,2.73
1.4,Very Good,G,VS1,62.6,58.0,11262,7.03,7.07,4.41
1.17,Ideal,H,SI1,61.1,57.0,6368,6.77,6.83,4.16
0.3,Premium,G,VS2,61.8,60.0,630,4.29,4.25,2.64
0.32,Ideal,G,SI1,62.6,55.0,445,4.38,4.41,2.75
0.56,Ideal,D,VS1,60.4,56.0,2026,5.36,5.33,3.23
1.0,Premium,J,VS1,62.8,57.0,4144,6.39,6.35,4.0
0.72,Ideal,H,SI2,61.3,55.0,2410,5.78,5.81,3.55
0.92,Premium,E,SI1,61.3,58.0,4379,6.19,6.25,3.81
0.91,Very Good,G,SI1,63.4,59.0,3763,6.2,6.14,3.91
1.54,Ideal,G,VVS2,62.5,57.0,15059,7.3,7.36,4.58
0.4,Premium,G,SI1,59.3,59.0,900,4.82,4.8,2.85
1.0,Ideal,G,VVS2,62.8,57.0,7979,6.37,6.43,4.02
1.54,Ideal,E,VS2,62.0,56.0,14529,7.46,7.43,4.61
0.27,Very Good,E,VVS2,63.0,56.0,622,4.12,4.14,2.6
0.41,Ideal,D,SI2,62.3,57.0,876,4.78,4.75,2.97
0.5,Very Good,D,SI1,61.9,61.0,1436,5.09,5.12,3.16
1.11,Very Good,D,VVS1,62.5,58.0,12200,6.67,6.6,4.15
1.1,Premium,F,SI2,62.1,56.0,3918,6.68,6.56,4.12
0.62,Ideal,D,SI1,62.2,55.0,1959,5.45,5.51,3.41
0.5,Ideal,J,VS2,62.5,53.0,915,5.09,5.12,3.19
0.32,Very Good,G,VS2,62.0,59.0,561,4.37,4.41,2.72
0.55,Very Good,J,SI1,60.9,56.0,1100,5.29,5.35,3.24
0.31,Ideal,D,VS2,62.5,56.0,734,4.29,4.32,2.69
0.34,Premium,H,VVS1,61.1,59.0,995,4.52,4.48,2.75
0.3,Ideal,G,VVS1,61.7,57.0,764,4.31,4.35,2.67
0.31,Good,F,VS2,63.5,55.0,583,4.31,4.32,2.74
0.3,Ideal,G,VVS2,61.8,57.0,850,4.31,4.33,2.67
1.34,Premium,E,VS2,58.2,60.0,8480,7.26,7.21,4.21
0.5,Fair,G,VS1,65.9,57.0,1373,5.0,4.87,3.25
1.03,Ideal,J,SI2,60.6,56.0,4347,6.58,6.57,3.99
1.26,Premium,F,VS1,62.7,58.0,9896,6.86,6.93,4.32
0.36,Ideal,E,VVS1,61.4,57.0,1043,4.64,4.61,2.54
0.42,Very Good,G,SI1,61.9,55.0,798,4.78,4.88,2.99
0.32,Premium,E,VS2,61.7,58.0,702,4.38,4.41,2.71
1.14,Very Good,E,VS1,63.1,59.0,8315,6.63,6.61,4.18
1.5,Good,G,VS2,58.8,64.0,11508,7.43,7.4,4.36
1.02,Fair,E,VS2,66.6,57.0,5350,6.09,6.14,4.07
0.7,Ideal,I,SI1,60.8,59.0,2083,5.74,5.78,3.5
0.6,Ideal,D,SI1,62.2,56.0,1996,5.44,5.4,3.37
0.5,Good,G,SI2,62.3,64.0,1121,5.1,5.02,3.15
0.31,Ideal,E,VS2,61.8,54.0,680,4.34,4.37,2.69
1.01,Very Good,F,SI1,62.1,57.0,4969,6.41,6.48,4.0
0.42,Very Good,H,VS2,59.0,57.0,843,4.92,4.95,2.91
1.22,Very Good,F,SI1,63.5,56.0,5329,6.79,6.75,4.3
0.58,Very Good,H,SI1,61.8,56.0,1219,5.34,5.38,3.31
0.34,Premium,E,VS2,61.9,58.0,745,4.43,4.45,2.75
1.51,Premium,E,SI1,59.6,61.0,12236,7.53,7.43,4.46
0.3,Premium,E,SI1,60.6,56.0,675,4.37,4.35,2.64
2.01,Premium,I,VS2,60.3,58.0,17826,8.22,8.16,4.94
0.7,Good,D,SI1,64.2,62.0,2318,5.52,5.48,3.53
0.34,Very Good,F,VS2,62.9,58.0,686,4.44,4.46,2.8
0.32,Ideal,E,VS1,61.6,55.0,898,4.43,4.46,2.74
1.4,Very Good,I,VS1,61.6,59.0,7584,7.17,7.22,4.43
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62
0.77,Premium,H,SI1,60.7,58.0,2369,5.95,5.91,3.6
0.31,Good,H,VVS1,63.7,56.0,612,4.3,4.33,2.75
0.65,Ideal,D,VVS1,61.9,56.0,4320,5.53,5.56,3.43
0.9,Good,F,SI1,57.6,60.0,3950,6.34,6.37,3.66
1.2,Premium,F,VVS2,62.8,60.0,10580,6.79,6.74,4.25
0.36,Very Good,E,SI1,63.5,58.0,593,4.46,4.49,2.84
0.3,Premium,H,VVS1,61.1,61.0,819,4.3,4.27,2.62
0.31,Ideal,D,VS1,61.1,55.0,774,4.37,4.4,2.68
0.53,Ideal,D,SI1,61.2,57.0,1587,5.19,5.24,3.19
0.72,Ideal,I,VS1,60.7,57.0,2539,5.78,5.81,3.51
0.31,Ideal,G,VVS1,62.5,56.0,772,4.3,4.34,2.69
0.31,Ideal,G,VS2,62.2,54.0,562,4.34,4.38,2.71
0.31,Very Good,H,VVS1,61.3,56.0,651,4.35,4.38,2.67
0.32,Very Good,D,VS2,62.0,57.0,758,4.38,4.42,2.73
0.76,Premium,G,SI2,62.8,60.0,2364,5.81,5.79,3.64
1.35,Ideal,J,SI1,61.9,56.0,6124,7.1,7.08,4.39
0.8,Very Good,I,SI2,60.7,56.0,2329,6.01,6.03,3.66
0.56,Ideal,G,VS1,62.2,55.0,1819,5.27,5.31,3.29
1.5,Ideal,D,VS2,62.6,56.0,15992,7.27,7.21,4.53
0.38,Ideal,J,VVS2,62.0,55.0,629,4.67,4.69,2.9
0.58,Very Good,I,VVS1,63.0,57.0,1790,5.31,5.35,3.36
0.3,Very Good,E,VS1,61.4,59.0,653,4.32,4.28,2.64
0.8,Very Good,F,VS1,62.3,57.0,3720,5.92,5.95,3.7
0.38,Ideal,D,VVS2,61.5,57.0,1257,4.67,4.63,2.86
0.41,Very Good,H,VVS2,62.0,56.0,873,4.77,4.81,2.97
0.36,Premium,D,SI1,61.5,59.0,663,4.52,4.55,2.79
1.3,Very Good,G,VS1,62.5,57.0,9837,6.92,6.96,4.34
1.07,Ideal,E,VVS2,61.4,56.0,9863,6.55,6.65,4.05
1.7,Premium,G,SI2,58.9,62.0,10091,7.79,7.72,4.57
1.1,Ideal,G,VS1,61.3,57.0,7550,6.59,6.66,4.06
0.36,Ideal,I,VS2,61.6,55.0,523,4.6,4.65,2.85
1.16,Ideal,J,IF,60.6,56.0,5519,6.79,6.86,4.14
1.25,Ideal,H,SI1,62.2,54.0,7182,6.93,6.88,4.3
1.51,Premium,F,SI1,62.2,58.0,11374,7.32,7.27,4.54
0.71,Ideal,D,VS1,60.9,58.0,3716,5.72,5.78,3.5
2.06,Ideal,F,SI2,62.7,57.0,15970,8.19,8.09,5.1
0.42,Very Good,H,SI1,62.9,57.0,700,4.76,4.84,3.02
0.41,Premium,E,SI2,62.1,58.0,876,4.77,4.73,2.95
1.03,Fair,J,SI2,56.2,62.0,3246,6.73,6.69,3.77
0.8,Premium,I,SI1,60.9,60.0,2507,6.01,5.95,3.64
0.23,Very Good,F,VVS2,61.2,58.0,530,3.96,3.98,2.43
0.3,Ideal,G,VS1,61.8,56.0,624,4.31,4.33,2.67
0.34,Ideal,E,SI1,61.7,56.0,596,4.49,4.52,2.78
0.51,Ideal,F,VS2,61.3,56.0,1562,5.14,5.11,3.14
0.35,Ideal,F,VS2,62.6,56.0,706,4.49,4.52,2.82
0.72,Very Good,E,VS2,63.0,58.0,3065,5.69,5.73,3.6
1.5,Good,H,SI1,60.8,60.0,9336,7.28,7.38,4.46
0.9,Very Good,F,SI1,63.3,55.0,4004,6.05,6.08,3.84
0.7,Ideal,D,SI1,61.4,54.0,2872,5.71,5.75,3.52
0.3,Ideal,G,VVS2,60.9,57.0,878,4.35,4.32,2.64
0.31,Ideal,J,VS2,62.3,54.0,396,4.35,4.38,2.72
1.13,Ideal,I,VS1,61.6,54.0,5813,6.72,6.74,4.15
0.71,Premium,D,SI1,60.6,58.0,2913,5.77,5.79,3.5
0.36,Good,E,IF,57.7,54.0,1053,4.74,4.79,2.75
0.7,Very Good,G,VVS2,63.6,57.0,2681,5.59,5.63,3.57
0.55,Ideal,E,VS2,62.2,54.0,1741,5.29,5.26,3.28
1.16,Ideal,G,VS2,62.5,55.0,8061,6.75,6.69,4.2
2.02,Premium,I,SI2,61.2,58.0,13117,8.11,8.04,4.94
0.59,Premium,E,SI2,61.4,59.0,1229,5.4,5.32,3.29
0.52,Very Good,E,VS2,60.9,57.0,1689,5.17,5.2,3.16
1.04,Ideal,H,VS1,62.0,54.0,6368,6.52,6.54,4.05
0.9,Very Good,F,SI1,63.2,56.0,4158,6.16,6.09,3.87
1.06,Premium,F,SI1,61.0,58.0,5236,6.65,6.6,4.04
0.8,Very Good,F,SI1,62.6,58.0,2862,5.9,5.92,3.7
0.72,Very Good,H,SI2,63.5,55.0,1799,5.66,5.62,3.58
1.01,Fair,F,SI1,66.1,60.0,3197,6.15,6.13,4.06
0.33,Very Good,G,VS1,62.9,57.0,666,4.38,4.43,2.77
1.16,Premium,H,SI1,61.2,57.0,5554,6.84,6.76,4.16
1.01,Ideal,D,SI1,62.2,54.0,6257,6.42,6.45,4.0
0.93,Very Good,E,SI2,60.5,57.0,4325,6.32,6.37,3.84
0.74,Premium,E,SI2,62.6,58.0,2594,5.73,5.77,3.6
0.33,Ideal,E,VS2,61.6,57.0,723,4.44,4.46,2.74
0.32,Ideal,H,VS2,62.2,57.0,648,4.38,4.36,2.72
1.01,Fair,I,VS1,64.9,56.0,3801,6.29,6.2,4.07
0.26,Ideal,G,VS1,62.5,53.0,508,4.1,4.13,2.57
1.5,Very Good,E,VS2,60.7,60.0,14256,7.32,7.41,4.47
0.41,Premium,H,SI1,62.9,58.0,876,4.73,4.72,2.97
1.73,Premium,J,SI1,60.7,58.0,9105,7.73,7.78,4.71
0.45,Good,F,VS1,59.0,62.0,1012,5.02,5.04,2.97
0.41,Premium,F,VVS2,60.6,58.0,1115,4.79,4.84,2.92
2.04,Very Good,J,VS1,62.6,58.0,14527,8.06,8.11,5.06
0.53,Ideal,F,VS1,61.7,56.0,1630,5.2,5.22,3.21
0.31,Ideal,F,IF,62.2,56.0,1122,4.34,4.31,2.69
0.28,Very Good,F,IF,59.8,56.0,787,4.27,4.29,2.56
0.41,Very Good,F,VS1,60.7,56.0,1007,4.77,4.82,2.91
0.36,Premium,F,VS2,60.5,59.0,932,4.64,4.61,2.8
0.42,Premium,F,VS1,60.9,59.0,1031,4.8,4.85,2.94
0.9,Very Good,E,VS2,60.4,60.0,4707,6.23,6.29,3.78
1.01,Very Good,F,VS2,61.6,57.0,6773,6.39,6.46,3.96
1.14,Premium,D,SI2,62.4,58.0,4513,6.67,6.7,4.17
0.5,Ideal,I,SI2,62.2,53.0,895,5.11,5.14,3.19
0.53,Ideal,E,VS2,62.1,56.0,1813,5.2,5.17,3.22
0.42,Ideal,E,VS2,62.2,55.0,1024,4.83,4.79,2.99
1.08,Ideal,E,VVS2,61.0,56.0,11166,6.64,6.67,4.06
0.56,Ideal,E,SI1,62.8,58.0,1784,5.31,5.26,3.32
0.4,Premium,H,SI1,62.7,58.0,666,4.65,4.69,2.93
0.65,Ideal,H,VVS1,62.4,54.0,2177,5.55,5.57,3.47
0.32,Ideal,G,IF,61.0,57.0,918,4.41,4.44,2.7
1.61,Premium,D,SI2,61.3,58.0,10278,7.56,7.49,4.61
1.0,Good,G,VVS2,62.4,61.0,6748,6.32,6.3,3.94
1.53,Good,E,SI2,57.1,56.0,7643,7.69,7.65,4.38
2.19,Premium,I,SI2,62.5,58.0,15169,8.31,8.26,5.18
1.27,Very Good,I,SI1,63.0,60.0,6654,6.86,6.8,4.3
2.07,Ideal,H,SI1,60.6,56.0,14935,8.38,8.3,5.05
0.29,Very Good,G,VS2,62.0,55.0,471,4.24,4.27,2.63
2.09,Very Good,H,SI1,61.1,56.0,18392,8.23,8.3,5.05
0.32,Ideal,F,VS2,62.4,54.0,828,4.4,4.38,2.74
1.14,Good,G,SI2,63.7,58.0,4501,6.62,6.54,4.19
2.0,Premium,H,SI1,58.2,60.0,18371,8.34,8.26,4.83
0.9,Very Good,F,SI2,61.8,60.0,3803,6.13,6.14,3.79
0.38,Premium,H,VVS1,61.2,60.0,1033,4.7,4.68,2.87
0.7,Ideal,I,VS2,62.4,56.0,2056,5.71,5.66,3.55
0.71,Ideal,D,VS1,62.2,55.0,3136,5.74,5.71,3.56
0.81,Very Good,G,VS2,63.1,58.0,2994,5.88,5.84,3.7
0.32,Very Good,G,VS1,62.8,58.0,645,4.34,4.39,2.74
0.31,Good,H,VS1,63.1,57.0,544,4.31,4.34,2.73
